אלמכ'תאר פי אלאמאנאת	(المختار في) الأمانات
ואללה יכפיכם אמר וד'לך	والله يكفيكم أمر وذاك
קולה H : H : H H H H	قوله H : H : H H H H
H H H H H פמעני קולה	H H H H H فمعنى قوله
פי קול הו מעני H H פי	في قول هو معنى H H في
קול פלמא סמעוא מנה תשאורוא	قول فلمّا سمعوا منه تشاوروا
פי ד'לך , פוקע להם אנה	في ذلك , فوقع لهم أنه
אראד אלקיאם פי אלתסביח	أراد القيام في التسبيح
ואלתמג'יד כקולה H : H	والتمجيد كقوله H : H
: H H H H וואפק ד'לך	: H H H H ووافق ذلك
רצ'א אלכ'אלק אד' כפאהם	رضاء الخالق إذ كفاهم
אמר אלעדו כמא אכ'ד'וא	أمر العدوّ كما أخذوا
פי אלתסביח , כקולה H	في التسبيح , كقوله H
H H H H H H H H H H H	H H H H H H H H H H H
H H H H פכל קד אנקצ'י	H H H H فكل قد انقضى
. ווג'דת גיר האולא יחתג'ון	. ووجدت غير هؤلاء يحتجّون
בקול H : H H H H H H	بقول H : H H H H H H
H H H H H H H H פקלת	H H H H H H H H فقلت
להם פאנט'רוא מא בעדה	لهم فانظروا ما بعده
, פאנה קד פצח פיה באן	, فإنه قد فصح فيه بأنَّ
הד'א אלעהד אלג'דיד הו	هذا العهد الجديد هو
אלתוריה בעינהא כקולה	التورية بعينها كقوله
H : H : H H H H H H H	H : H : H H H H H H H
H H H H H H H H ואנמא	H H H H H H H H وإنما
צאר כ'לאף אלעהד אלאול	صار خلاف العهد الأول
פי באב אנה לא ינקץ' פי	في باب أنه لا ينقض في
הד'ה אלמדה כמא נקץ' פי	هذه المدّة كما نقض في
אלמדה אלאולי כקולה H	المدّة الأولى كقوله H
: H : H H H H H H . ובעד	: H : H H H H H H . وبعد
הד'ה אלאקואל וג'דת להם	هذه الأقوال وجدت لهم
שבהא פי יזעמון אנהם ירון	شبهًا في يزعمون أنهم يرون
בהא נסך' אלשרע והי כת'ירה	بها نسخ الشرع وهي كثيرة
, ואלד'י ינצ'ם אליהא	, والذي ينضمّ إليها
אכת'ר מנהא , לכני אקתצרת	أكثر منها , لكنّي اقتصرت
מנהא עלי עשר מסאיל ,	منها على عشر مسائل ,
פמא ורד מן סואהא תבינה	فما ورد من سواها تبيّنه
לכתאבנא הד'א פאנה ינכשף	لكتابنا هذا فإنه ينكشف
לה וג'ה אלוהם ואלט'ן	له وجه الوهم والظنّ
אלד'י ט'ן בה . פאולהא	الذي ظنّ به . بأولها
תזויג' בני בבנאתה פיקולון	تزويج بني ببناته فيقولون
הד'א נסך' , וליס הו נסכ'א	هذا نسخ , وليس هو نسخًا
ואנמא הו עד'ר לאנא נעתקד	وإنما هو عذر لأنا نعتقد
אן אלאכ'ת מחצ'ורה מן	أنَّ الأخت محظورة من
קבל H כמא וג'דנא H יקול	قبل H كما وجدنا H يقول
H : H H H H ואנמא תזוג'	H : H H H H وإنما تزويج
בנו אדם בד'לך למוצ'ע	بنو آدم بذلك لموضع
אלצ'רורה אד' לם יכן מן	الضرورة إذ لم يكن من
אלנאטקין סואהם פלמא אתסע	الناطقين سواهم فلمّا اتّسع
אלנסל אנקטע אלעד'ר למן	النسل انقطع العذر لمن
אתי , ד'לך ، כמן יפטר	أتى , ذلك ، كمن يفطر
פי חאל מרץ' פאד'א צח	في حال مرض فإذا صحّ
אנקטע עד'רה וכמן יאכל	انقطع عذره وكمن يأكل
אלמיתה פי אלצחרא פאד'א	الميتة في الصحراء فإذا
וג'ד גירהא זאל עד'רה	وجد غيرها زال عذره
. ואלת'אני אד' חכם עלי	. والثانية إذ حكم على
בסבב קתלה H H פקט , וחכם	بسبب قتله H H فقط , وحكم
בעד ד'לך בקתל כל קאתל	بعد ذلك بقتل كلّ قاتل
, והד'א איצ'א ליס בנסך'	, وهذا ايضًا ليس بنسخ
, לאן אלחכים לא יאמר	, لأنَّ الحكيم لا يأمر
בקתל אלקאתל אלא בחאכם	بقتل القائل إلاَّ بحاكم
ושאהדין , פלמא לם יוג'ד	وشاهدين , فلّما لم يوجد
ד'לך פי וקת קתל לם ילזמה	ذلك في وقت قتل لم يلزمه
אלקתל בל עאקבה בגירה	القتل بل عاقبه بغيره
אלא תרי אנה קאל לנח :	ألا ترى أنه قال لنوح :
H H H H H H . ואלת'אלת'	H H H H H H . والثالثة
מא אמר באלקרבאן לכל אנסאן	ما أمر بالقربان لكلّ إنسان
, ת'ם מנעהם אלא הרון	, ثمَّ منعهم إلاّ هرون
וולדה . והד'א איצ'א ליס	وولده . وهذا أيضًا ليس
בנסך' אד' ליס נץ ינץ	بنسخ إذ ليس نصّ ينصّ
עלי אן ג'מיע אלנאס נצבוא	على أنَّ جميع الناس نُصبوا
ללתקריב , ואנמא כאן יקרב	للتقريب , وإنما كان يقرِّب
קבל הרון מן כאן מנצובא	قبل هرون من كان منصوبًا
פי מת'ל מוצ'עה , ואמא	في مثل موضعه , وأما
גיר אלמנצוב פלם יכן לה	غير المنصوب فلم يكن له
אן יקרב קבל אכ'תיאר הרון	أن يقرِّب قبل اختيار هرون
ולא בעד אכ'תיארה . ואלראבע	ولا بعد اختياره . والرابعة
תקריב אלקרבאן פי אלסבת	تقريب القربان في السبت
בעד תחצ'יר אלעמל פיה	بعد تحظير العمل فيه
. הד'א איצ'א ליס בנסך'	. هذا أيضًا ليس بنسخ
בל הו ממא יויד דפע אלנסך'	بل هو ممّا يؤيّد دفع النسخ
, לאן שריעהֿ אלקרבאן	, لأنَّ شريعة القربان
כאנת קבל אלסבת , פלם	كانت قبل السبت , فلم
יג'ז אן תחצ'רה שריעהֿ	يجز أن تحظره شريعة
אלסבת פיכון ד'לך נסכ'א	السبت فيكون ذلك نسخًا
, פחצ'רת סאיר אלאעמאל	, فحظرت سائر الأعمال
אלא אלקרבאן ואלכ'תאנה	إلاّ القربان والختانة
אלמתקדמין קבלהא . ואלכ'אמס	المتقدّمين قبلها . والخامسة
קול אללה תעאלי H ען H	قول الله تعالى H عن H
: H H H , ת'ם קאל : H	: H H H , ثمَّ قال : H
H H H H H H H H . והד'א	H H H H H H H H . وهذا
איצ'א ליס בנסך' ענדנא	أيضًا ليس بنسخ عندنا
ולא ענדהם , אד' מג'וז	ولا عندهم , إذ مجوّز
אלנסך' לא יג'וזה קבל	النسخ لا يجوّزه قبل
אן ימתת'ל אלשרע מרה ואחדה	أن يمتثل الشرع مرّة واحدة
ללא יציר עבת'א , ואנמא	لئلاّ يصير عبثًا , وإنما
אמר H באן יבד'ל אבנה	أمر H بأن يبذل ابنه
ללקרבאן , פלמא תם מנה	للقربان , فلمّا تمَّ منه
אלבד'ל באט'האר אלנאר	البذل بإظهار النار
ואלחטב ומסך אלסכין קאל	والحطب ومسك السكين قال
לה חסבך לם ארד מנך אכת'ר	له حبك لم أرد منك أكثر
מן הד'א . ואלסאדס קול	من هذا . والسادسة قول
אללה ען רסל : H : H H	الله عن رسل : H : H H
. ת'ם קאל H : H : . והד'א	. ثمَّ قال H : H : אתם وهذا
איצ'א ליס בנסך' לאן אלקום	أيضًا ليس بنسخ لأنَّ القوم
אלד'י מצ'י מעהם ליס הם	*الذي مضى معهم ليس هم
אלקום אלד'ין מנעה מן	القول الذين منعه من
אלמצ'י מעהם , לאנה יקול	المضيّ معهم , لأنه يقول
H : H : H H H H H H פמנעה	H : H : H H H H H H فمنعه
מן אלמצ'י מע אלדנאה ואטלק	من المضيّ مع الدناة وأطلق
לה אלמצ'י מע אלאג'לא	له المضيّ مع الأجلاّء
ליזיד פי תעט'ימה , חתי	ليزيد في تعظيمه , حتى
יקאל כפי אללה בני אסראיל	يقال كفى الله بني إسرائيل
מאונהֿ פלאן אלפלאני אלמעט'ם	مؤونة فلان الفلانيّ المعظم
מכאנא . ואלסאבע קול אללה	مكانًا . والسابعة قول الله
סבחאנה לחזקיהו H H H	سبحانه لحَزَقِيَّا H H H
H H ת'ם קאל : H H H H	H H ثمَّ قال : H H H H
H H H . והד'א איצ'א ליס	H H H . وهذا أيضًا ليس
בנסך' , לאן אללה אמר	بنسخ , لأنَّ الله أمر
לתהדד או זג'ר , פאד'א	لتهدّد أو زجر , فإذا
סמעה אלעבד ואנזג'ר זאל	سمعه العبد وانزجر زال
ענה אלתהדד כמא עלמנא	عنه التهدّد كما علمنا
מן כ'בר אהל נינוה וכל	من خبر أهل نينوى وكلّ
תאיב מד'ען . ואלת'אמן	تائب مذعن . والثامنة
קצהֿ H : H : H H H H	قصّة H : H : H H H H
. והד'א איצ'א ליס בנסך'	בכור وهذا أيضًا ليس بنسخ
, לאן מן שאנה אן ישרף	, لأنَّ من شأنه أن يشرّف
אלעבד פאד'א הו עצאה חטה	العبد فإذا هو عصاه حطّه
, וכמא אסכן אדם אלג'נאן	, وكما أسكن آدم الجنان
פאכ'טא וטרדה , ואדכ'ל	فأخطأ وطرده , وأدخل
אבאנא אלשאם פאכ'טוא פבדדהם	آباءنا الشام فأخطأوا فبذّرهم
וכל מא כאן סביל אלעקובה	وكلّ ما كان سبيل العقوبة
. ואלתאסע קאלוא אן H	. والتاسعة قالوا إنَّ H
חארב פי יום אלסבת . וליס	حارب في يوم السبت . وليس
אלאמר כד'לך , לאנה לם	الأمر كذاك , لأنه لم
יד'כר פי כל יום חרבא	يذكر في كلّ يوم حربًا
, ואנמא כאן פי כל יום	, وإنما كان في كلّ يوم
יחמל ויצ'רב באלבוקאת	يحمل ويضرب بالبوقات
והד'ה אלאפעאל חלאל פי	وهذه الأفعال حلال في
אלסבת , לכן אליום אלסאבע	السبت , لكن اليوم السابع
אלד'י כאן פיה אלחרב לם	الذي كان فيه الحرب لم
יכן יום אלסבת . ואלעאשר	يكن يوم السبت . والعاشرة
קאלוא אן אלקבלה אולא	قالوا إنَّ القبلة أولاً
כאנת אלי , ת'ם נקלהא	كانت إلى , ثمَّ نقلها
וולאהא אלי אלבית אלמקדס	وولاّها إلى البيت المقدس
. והד'א איצ'א ליס בנסך'	. وهذا أيضًا ليس بنسخ
, לאן אלקבלה אנמא שרעת	, لأنَّ القبلة إنما شرِّعت
אלי , פמהמא כאן פי אלבר	إلى , فمهما كان في البرّ
כאנת אלקבלה הנאך , פלמא	كانت القبلة هناك , فلمّا
אנתקל אלי H H H H ואלבית	انتقل إلى H H H H والبيت
אלמקדס תבעתה אלקבלה ,	المقدس تبعته القبلة ,
והד'א הו אלצחיח מן אלקול	وهذا هو الصحيح من القول
אן יתבע אלמעלול לעלתה	أن يتبع المعلول لعلّته
. וקום מנהם תתבעוא לפט'הֿ	. وقوم منهم تتبعوا لفظة
פקאלוא , ראינאהא פי לגהֿ	فقالوا , رأينا في لغة
אלעבראניין תתקסם , פקלנא	العبرانيّين تتقسّم , فقلنا
אג'ל , להא ת'לאת'ה מעאן	أجل , لها ثلاثة معانٍ
, אחדהם כ'מסין סנה ואלאכ'ר	, أحدهم خمسين سنة والآخر
עמר ד'לך אלמד'כור ואלת'אלת'	عمر ذلك المذكور والثالث
מא קאמת אלדניא . פאד'א	ما قامت الدنيا . فإذا
ערצ'נאהא עלי שריעהֿ אלסבת	عرضناها على شريعة السبت
בטל את'נאן ות'בת אלאכ'יר	بطل اثنان وثبت الأخير
, לאנא ראינא H והו בעד	, لأنا رأينا H وهو بعد
עצר מוסי בשביה תסע מאיהֿ	عر موسى بشبيه تسع مائة
סנהֿ ובעד קרון כת'ירה	سنة وبعد قرون كثيرة
וטבקאת מן נסל בני אסראיל	وطبقات من نسل بني إسرائيل
, יחת'הם עלי חפט' אלסבת	, يحثهم على حفظ السبت
ותרך אלעמל פיהא כקולה	وترك العمل فيه كقوله
H : H : H H H H פלמא	H : H : H H H H فلمّا
בטלת מדהֿ אלכ'מסין ומדהֿ	بطلت مدّة الخمسين ومدّة
תלך אלאשכ'אץ לם יבק מן	تلك الأشخاص لم يبق من
אלאקסאם אלא מדהֿ אלדניא	الأقسام إلاّ مدّة الدنيا
. ובעץ' יסאלנא ען לפט'הֿ	. وبعض يسألنا عن لفظة
אלנקל אלד'י פמענאה פי	النقل الذي سمعناه في
תסרמד שרע אלתוריה , יקדר	تسرمد شرع التورية , يقدر
